date,milk_production,imports,exports,total_supply,population,per_capita_supply,unemployment,wage_mass,uht_milk_industry,uht_milk_market,farmgate_milk_price
2007-01-01,1629.549,51.4868285,37.23212853,1643.8037,188.4969285,8.720586129,,,,1.422492,0.450872143
2007-02-01,1405.073,44.56590975,39.46138208,1410.177528,188.6572449,7.474812474,,,,1.412007,0.480057193
2007-03-01,1444.693,23.32689622,40.93882827,1427.081068,188.8175613,7.557989087,,,,1.427207,0.50085735
2007-04-01,1333.077,19.81001777,33.95806527,1318.928953,188.9778778,6.979276983,,,,1.47141,0.544432692
2007-05-01,1359.253,16.03497595,45.07362488,1330.214351,189.1381942,7.033028717,,,,1.61376,0.586239275
2007-06-01,1324.948,10.39709623,28.56980305,1306.775293,189.2985106,6.903251849,,,,1.877278,0.646285811
2007-07-01,1434.022,13.46758393,26.33347678,1421.156107,189.458827,7.501134308,,,,2.119391,0.734269564
2007-08-01,1488.964,11.70293563,48.51424435,1452.152691,189.6151911,7.658419576,,,,2.218509,0.761731073
2007-09-01,1519.011,17.9835015,28.34283989,1508.651662,189.7715552,7.949830312,,,,2.00599,0.6953
2007-10-01,1591.83,19.78830873,65.96226583,1545.656043,189.9279193,8.138119182,,,,1.744173,0.648598059
2007-11-01,1605.511,12.30179755,98.34023618,1519.472561,190.0842833,7.99367804,,,,1.582465,0.641162471
2007-12-01,1752.712,10.18835553,77.97505034,1684.925305,190.2406474,8.856810193,,,,1.522572,0.627686534
2008-01-01,1767.81,14.65643783,65.51409578,1716.952342,190.3970115,9.01774838,,,,1.572761,0.64711505
2008-02-01,1604.373,21.04318153,40.1653082,1585.250873,190.5533756,8.319195965,,,,1.591113,0.676333303
2008-03-01,1611.925,20.2864189,52.70415152,1579.507267,190.7097397,8.282258002,,,,1.649116,0.698238362
2008-04-01,1566.348,23.61984322,89.92181938,1500.046024,190.8661038,7.859153587,,,,1.69578,0.714487857
2008-05-01,1588.035,18.37572188,44.85866917,1561.552053,191.0224678,8.174703586,,,,1.77044,0.721260552
2008-06-01,1541.045,23.87208713,91.17668388,1473.740403,191.1788319,7.708700741,,,,1.86734,0.703861212
2008-07-01,1594.165,40.26427067,83.01325761,1551.416013,191.335196,8.108367125,,,,1.874954,0.671250878
2008-08-01,1573.243,32.32422688,56.4345935,1549.132633,191.4884327,8.089954113,,,,1.835833,0.620229286
2008-09-01,1509.183,27.58716492,112.3476103,1424.422555,191.6416693,7.432739234,,,,1.708818,0.57495496
2008-10-01,1582.565,30.34124348,89.18716333,1523.71908,191.794906,7.944523199,,,,1.652571,0.554714193
2008-11-01,1618.61,22.12415362,44.44722172,1596.286932,191.9481427,8.316240573,,,,1.698257,0.556647324
2008-12-01,1727.775,49.71824663,106.0472588,1671.445988,192.1013793,8.700853652,,,,1.732051,0.562618041
2009-01-01,1757.217,93.12069423,50.52028043,1799.817414,192.254616,9.361634333,,,,1.733666,0.563744291
2009-02-01,1565.15,50.89248183,41.52539627,1574.517086,192.4078527,8.183226743,,,,1.788127,0.573847345
2009-03-01,1610.304,108.090704,29.28505248,1689.109651,192.5610893,8.771811882,,,,1.838337,0.590022414
2009-04-01,1452.709,62.6853682,21.72876283,1493.665605,192.714326,7.750672388,,,,1.8982,0.624652086
2009-05-01,1434.486,39.23966058,19.4755506,1454.25011,192.8675627,7.540148742,,,,2.134079,0.66804599
2009-06-01,1407.484,51.69697347,16.30552503,1442.875448,193.0207993,7.475232998,,,,2.368842,0.727822472
2009-07-01,1553.601,71.52402692,83.53738161,1541.587645,193.174036,7.980304586,,,,2.486858,0.730000899
2009-08-01,1641.471,70.13620287,55.6534729,1655.95373,193.3053104,8.566519597,,,,2.390305,0.700216628
2009-09-01,1700.529,81.52628975,111.2399426,1670.815347,193.4365848,8.637535389,,,,2.032717,0.658559783
2009-10-01,1795.083,61.40953315,84.73137703,1771.761156,193.5678593,9.153178441,,,,1.821295,0.602544713
2009-11-01,1803.057,55.73728242,42.15177492,1816.642508,193.6991337,9.378681634,,,,1.727325,0.571536936
2009-12-01,1880.564,34.52370418,106.1940684,1808.893636,193.8304081,9.332352203,,,,1.633318,0.569507494
2010-01-01,1880.098,50.95933297,21.45029952,1909.607033,193.9616825,9.845279794,,,,1.720001,0.585380431
2010-02-01,1634.179,43.2464987,16.04869543,1661.376803,194.0929569,8.559696496,,,,1.783774,0.643696973
2010-03-01,1755.525,29.5952485,15.82724163,1769.293007,194.2242313,9.109537954,,,,1.958926,0.716995921
2010-04-01,1655.255,70.34371292,14.21934965,1711.379363,194.3555058,8.805407167,,,,2.166211,0.755628598
2010-05-01,1633.056,53.91808828,13.69821165,1673.275877,194.4867802,8.603545574,,,,2.204605,0.724822496
2010-06-01,1618.937,61.6570761,11.87951083,1668.714565,194.6180546,8.574305035,,,,2.102452,0.681108705
2010-07-01,1755.376,61.5843335,15.38198731,1801.578346,194.749329,9.250755088,,,,1.955011,0.653210218
2010-08-01,1757.528,32.11763538,9.9500692,1779.695566,194.8667691,9.132883839,,,,1.935615,0.653401166
2010-09-01,1680.98,40.02049675,17.61552925,1703.384967,194.9842092,8.736014956,,,,1.936245,0.654449475
2010-10-01,1768.832,41.8565878,16.73621839,1793.952369,195.1016493,9.194962607,,,,2.011904,0.668912616
2010-11-01,1864.497,86.92638407,12.69505931,1938.728325,195.2190893,9.931038667,,,,2.008399,0.674239046
2010-12-01,1971.238,135.3525131,13.21324247,2093.377271,195.3365294,10.71677313,,,,2.066693,0.678165572
2011-01-01,1985.68,115.5265418,7.056366927,2094.150175,195.4539695,10.71428828,,,,2.056287,0.682749215
2011-02-01,1731.011,112.1121856,6.677926547,1836.445259,195.5714096,9.390151981,,,,2.035471,0.69987943
2011-03-01,1771.261,65.62175718,10.58874574,1826.294011,195.6888497,9.332642174,,,,2.079595,0.737795885
2011-04-01,1656.821,91.10014323,11.69750293,1736.22364,195.8062898,8.867047338,,,,2.142254,0.777785194
2011-05-01,1713.253,90.83847667,14.62589025,1789.465586,195.9237298,9.133480605,,,,2.229743,0.803936983
2011-06-01,1687.768,86.0678405,8.381264383,1765.454576,196.0411699,9.00552969,,,,2.251872,0.801177079
2011-07-01,1749.939,77.77097517,7.423853917,1820.286121,196.15861,9.279664661,,,,2.273626,0.807131933
2011-08-01,1798.475,89.80599987,11.26810916,1877.012891,196.2846108,9.562710407,,,,2.330055,0.827865347
2011-09-01,1789.899,138.775377,9.349882517,1919.324494,196.4106117,9.771999986,,,,2.380188,0.824128881
2011-10-01,1874.526,140.7788962,10.85553449,2004.449362,196.5366125,10.19885983,,,,2.404957,0.792481049
2011-11-01,1969.249,101.5265868,8.212230343,2062.563356,196.6626133,10.48782644,,,,2.336073,0.782579082
2011-12-01,2067.118,106.3158879,10.35961401,2163.074274,196.7886142,10.991867,,,,2.27078,0.768137579
2012-01-01,2021.291,155.4971877,7.131168547,2169.657019,196.914615,11.01826301,,,,2.203876,0.776815533
2012-02-01,1850.514,101.7492972,9.210718673,1943.052579,197.0406158,9.861177962,,,,2.177809,0.792996869
2012-03-01,1895.099,110.996005,8.719082097,1997.375923,197.1666167,10.13039609,0.08,127957,,2.171227,0.802413554
2012-04-01,1720.676,83.39181317,11.49322508,1792.574588,197.2926175,9.085867534,0.078,121994,,2.269476,0.808373711
2012-05-01,1756.527,85.72950782,10.05513659,1832.201371,197.4186183,9.280793203,0.077,122787,,2.26705,0.791962532
2012-06-01,1760.751,71.02011875,10.12987325,1821.641245,197.5446192,9.221416676,0.076,123779,,2.207719,0.782138425
2012-07-01,1869.68,63.25601975,7.292943797,1925.643076,197.67062,9.741675703,0.075,124987,,2.199644,0.787225651
2012-08-01,1884.498,88.46862335,9.232821163,1963.733802,197.8002935,9.927860912,0.074,126281,,2.181061,0.799625597
2012-09-01,1776.984,113.4300013,8.822398333,1881.591603,197.929967,9.506350309,0.071,127095,,2.24076,0.809663189
2012-10-01,1863.953,106.616818,12.18439649,1958.385422,198.0596405,9.887857095,0.07,128118,,2.303337,0.82214332
2012-11-01,1901.445,159.6567454,9.185298237,2051.916447,198.189314,10.35331525,0.068,128812,,2.319275,0.822659463
2012-12-01,2036.916,127.6414214,11.3153645,2153.242057,198.3189875,10.85746798,0.069,130712,,2.334417,0.810983773
2013-01-01,2045.576,108.2158099,9.355946333,2144.435864,198.448661,10.80599815,0.073,137640,,2.369496,0.821934934
2013-02-01,1783.366,51.21713693,13.64951364,1820.933623,198.5783345,9.169850416,0.078,138744,,2.305382,0.84274926
2013-03-01,1851.768,79.38123593,10.60176439,1920.547472,198.708008,9.665173995,0.081,138673,,2.366954,0.876568143
2013-04-01,1756.483,88.94314108,10.12945011,1835.296691,198.8376815,9.230125181,0.079,134011,,2.501807,0.909447708
2013-05-01,1766.974,65.57761948,10.01229331,1822.539326,198.967355,9.159991729,0.077,135520,,2.566468,0.942037367
2013-06-01,1814.247,74.85845197,8.360285677,1880.745166,199.0970285,9.446374868,0.075,137812,,2.739215,0.979790983
2013-07-01,1978.775,114.1413473,7.693298133,2085.223049,199.226702,10.46658419,0.074,139855,,2.94201,1.014347073
2013-08-01,2003.575,115.3912458,7.5362992,2111.429947,199.3587378,10.59110812,0.072,141280,,3.04895,1.037785868
2013-09-01,2008.586,107.3242107,6.5769392,2109.333272,199.4907735,10.57358811,0.07,141854,,3.059864,1.039036375
2013-10-01,2141.539,102.5823368,7.53752626,2236.58381,199.6228093,11.20404937,0.068,143068,,3.001547,1.0195644
2013-11-01,2171.098,77.0162065,10.11308975,2238.001117,199.754845,11.20373885,0.066,143929,,2.837414,0.960163168
2013-12-01,2230.842,81.06015733,30.36738894,2281.534768,199.8868808,11.41412963,0.063,145117,,2.613825777,0.918007025
2014-01-01,2229.486,75.39597167,50.4845133,2254.397458,200.0189165,11.27092126,0.065,150728,,2.386161552,0.912545275
2014-02-01,1921.8,34.44897177,28.30309339,1927.945878,200.1509523,9.632459185,0.068,152816,,2.287135847,0.94188767
2014-03-01,2037.671,28.29814547,27.11175902,2038.857386,200.282988,10.17988301,0.072,154422,,2.425278852,0.99946648
2014-04-01,1910.8,42.8559759,61.07558661,1892.580389,200.4150238,9.443305965,0.072,150521,,2.616633354,1.020263881
2014-05-01,1947.916,63.65355835,33.39509862,1978.17446,200.5470595,9.863891621,0.071,151762,,2.668442694,1.012809772
